10000
58060 700 R
34457 400 L
86048 500 L
17031 700 D
22105 300 L
45420 700 R
38292 100 R
85578 300 D
57905 600 L
32456 700 D
33174 400 D
37036 300 D
29929 100 R
66078 300 D
805 500 R
29860 700 L
78945 800 R
78247 100 L
96661 200 L
8524 300 L
44820 100 R
11112 700 D
91342 700 L
42750 600 D
57709 300 D
64869 300 L
57546 400 R
44925 600 D
24638 300 R
87705 300 L
73970 700 D
83733 100 D
28121 700 D
73654 500 R
47298 500 L
44686 600 R
71537 600 L
42483 700 L
49932 500 D
90110 100 R
57189 600 R
36827 700 R
88557 300 L
69 100 D
46670 400 D
31244 200 D
65238 800 R
66563 300 R
77555 600 R
20247 800 L
8127 800 R
56669 700 D
63555 300 L
69739 500 D
30894 100 L
48562 200 R
42024 800 D
20614 100 R
27247 100 L
54765 200 R
16333 300 R
1620 800 D
58575 800 R
41756 400 R
82075 300 R
73619 200 R
41284 100 R
65929 800 R
61348 600 R
71625 300 L
53366 400 D
65972 200 D
2472 100 D
53442 200 D
61752 600 D
46566 200 R
97055 200 R
83694 500 L
63727 600 D
76606 400 L
16350 800 D
28359 200 D
71106 200 R
33160 800 R
52394 800 R
34034 700 D
94608 600 D
90341 200 R
50843 100 D
47924 200 R
59916 200 D
60744 100 D
63779 800 D
60897 100 D
66395 400 R
59255 300 L
54955 400 R
31404 200 R
88707 100 L
98889 600 L
28684 200 R
84397 300 R
83311 800 R
90067 800 D
40515 800 L
42454 200 R
28257 500 D
49901 700 R
1352 500 D
94597 400 D
62224 100 R
89316 100 R
2786 600 D
8550 100 D
80407 800 L
55519 400 L
30022 200 D
90026 600 D
77928 800 L
40120 600 L
5114 600 L
40402 800 D
40270 700 R
80942 400 R
37568 100 D
35858 600 R
25051 400 L
38887 600 L
41068 800 L
582 700 R
42113 500 R
48022 100 L
14603 100 D
66167 700 R
29602 700 R
40227 200 L
19554 300 R
83337 500 R
13472 800 R
88768 100 L
64277 400 R
77819 800 R
21215 700 D
70363 200 L
56945 100 L
38803 400 R
86972 200 L
39203 400 D
84685 800 L
81090 800 R
32623 500 D
11755 600 L
75511 800 D
18148 200 D
93830 800 L
79546 400 D
91850 600 R
83092 800 R
65911 100 L
82006 500 R
3540 800 R
99908 700 D
97186 500 L
77356 700 D
97528 500 D
25335 700 L
13289 200 D
59597 800 D
24721 300 D
25047 500 L
75619 700 D
44927 600 L
12841 600 D
23460 700 L
8971 200 D
78798 700 L
80122 700 L
74712 200 R
50773 700 D
32134 100 L
6076 200 D
28978 600 D
86834 700 L
49138 100 D
13359 500 L
10670 700 L
66337 500 D
85549 700 R
10999 600 R
58277 500 L
40293 100 D
22684 800 R
15502 400 L
82208 400 R
1171 100 R
55440 100 L
29337 500 L
52354 300 L
53629 200 D
33878 200 L
82863 600 D
3189 100 R
98848 200 R
51041 700 R
32345 500 R
91512 200 R
37481 800 L
30628 800 L
99581 100 R
19153 500 L
65389 100 D
73985 100 L
78599 700 D
61587 800 R
61190 400 D
46739 100 D
25229 600 L
73334 100 L
4675 600 R
91983 600 D
77769 300 L
32680 600 L
37634 600 D
85757 700 D
73282 500 R
37120 500 D
54757 100 L
99861 800 D
52794 100 D
98866 300 R
24161 500 L
42296 800 L
25869 500 R
35836 800 L
15064 100 R
98514 500 R
41070 800 D
91155 100 R
40895 300 L
45780 500 L
65742 700 R
23084 300 L
29604 700 L
54223 500 R
37054 100 R
31507 600 D
1077 600 L
7618 500 R
43155 300 R
26394 600 R
94080 300 L
79096 200 D
25984 400 L
36650 300 D
88691 600 R
23716 100 D
33645 100 L
25579 100 D
78953 500 R
9013 200 D
72136 800 R
49518 800 R
64238 500 L
76536 200 R
10903 800 R
39447 400 R
48515 400 L
23896 600 L
54545 700 R
59019 400 D
48651 100 R
53330 500 D
36508 200 D
15337 600 R
64682 100 L
97422 600 R
13574 700 R
60352 800 R
874 300 D
89627 500 R
90732 400 L
61959 800 R
40400 400 D
60361 100 D
14431 100 R
26429 400 L
66587 300 R
38663 800 R
93792 100 L
98565 200 D
72343 500 R
79888 800 R
33532 400 L
44363 800 L
64187 800 D
35207 700 L
24654 800 L
37697 300 L
95013 300 R
43091 300 L
74006 100 D
84021 300 R
43185 400 L
988 200 L
25935 800 D
29499 500 D
70149 700 D
33979 200 D
90725 800 L
51436 600 D
98271 500 L
63845 100 L
50001 200 R
92968 600 D
11013 100 R
70386 500 D
30342 100 R
61993 100 R
14724 300 L
81356 300 L
98065 500 D
58199 600 D
34985 100 D
86891 300 R
90799 400 R
94356 400 L
72219 800 D
41793 100 R
26306 300 L
26078 700 L
91557 600 L
4179 500 D
31353 800 R
99202 600 L
76451 200 R
29293 300 D
23042 200 R
42996 700 L
7419 100 D
29615 200 D
72860 600 R
67735 800 R
22339 200 D
34836 100 L
91037 300 R
80550 700 D
51928 200 D
21555 400 L
25521 600 L
23011 200 D
80074 800 L
16242 200 D
94742 600 L
7811 700 L
64406 100 R
39765 100 L
72618 800 R
25236 400 R
67402 300 L
21340 700 R
32895 200 D
79927 700 D
67093 500 L
15069 200 D
42639 300 D
62449 500 D
62455 500 R
18113 800 L
65733 800 L
